taxa,Maize Type
FC46,Flint/Popcorn
911,Iodent
912,Iodent
1538,Iodent
29MIBZ2,Iodent
3IJI1,Iodent
91IFC2,Iodent
DE2,Iodent
DK3IIH6,Iodent
DKH3IIH6,Iodent
DKIB014,Iodent
IBB14,Iodent
IBB15,Iodent
ICI-986,Iodent
L-127,Iodent
L-135,Iodent
L-155,Iodent
LIBC-4,Iodent
MBWZ,Iodent
MQ305,Iodent
NQ508,Iodent
OQ403,Iodent
OQ603,Iodent
OS602,Iodent
PH207,Iodent
PHG29,Iodent
PHG50,Iodent
PHG72,Iodent
PHG83,Iodent
PHG84,Iodent
PHGW7,Iodent
PHH93,Iodent
PHJ33,Iodent
PHJ90,Iodent
PHK42,Iodent
PHK74,Iodent
PHKE6,Iodent
PHM10,Iodent
PHN11,Iodent
PHN82,Iodent
PHP02,Iodent
PHP55,Iodent
PHP76,Iodent
PHR31,Iodent
PHR36,Iodent
PHR62,Iodent
PHR63,Iodent
PHT22,Iodent
PHV57,Iodent
PHVJ4,Iodent
PHW53,Iodent
PHW86,Iodent
SD102,Iodent
A340,Mixed
B107,Mixed
B114,Mixed
CH157,Mixed
CS405,Mixed
DE4,Mixed
DKHBA1,Mixed
EAST-028,Mixed
FR19,Mixed
H113,Mixed
ICI-193,Mixed
J8606,Mixed
LH172,Mixed
LH184,Mixed
LH191,Mixed
MBPM,Mixed
MEF156-55-2,Mixed
Mo5,Mixed
MS132,Mixed
MS1334,Mixed
MS153,Mixed
MS67,Mixed
N211,Mixed
N215,Mixed
N534,Mixed
NC230,Mixed
ND259,Mixed
NS501,Mixed
NY-159,Mixed
NY-166,Mixed
Os426,Mixed
Pa405,Mixed
PHG35,Mixed
PHHH9,Mixed
PHJ70,Mixed
PHKM5,Mixed
PHMK0,Mixed
PHN29,Mixed
PHR03,Mixed
PHR47,Mixed
PHV78,Mixed
PHW03,Mixed
PHW20,Mixed
PHW30,Mixed
PHW79,Mixed
R113,Mixed
R181B,Mixed
R226,Mixed
SD40,Mixed
SD44,Mixed
Va52,Mixed
W552,Mixed
W602S,Mixed
W610S,Mixed
W803G,Mixed
W814G,Mixed
W815G,Mixed
WR3,Mixed
2MA22,Non Stiff Stalk
2MCDB,Non Stiff Stalk
6M502,Non Stiff Stalk
6M502A,Non Stiff Stalk
78551S,Non Stiff Stalk
A,Non Stiff Stalk
A208,Non Stiff Stalk
A239,Non Stiff Stalk
A258,Non Stiff Stalk
A321,Non Stiff Stalk
A374,Non Stiff Stalk
A385,Non Stiff Stalk
A401,Non Stiff Stalk
A548,Non Stiff Stalk
A556,Non Stiff Stalk
A619,Non Stiff Stalk
A627,Non Stiff Stalk
A648,Non Stiff Stalk
A649,Non Stiff Stalk
A659,Non Stiff Stalk
A682,Non Stiff Stalk
A73,Non Stiff Stalk
AS5707,Non Stiff Stalk
AusTRCF-306238,Non Stiff Stalk
B103,Non Stiff Stalk
B120,Non Stiff Stalk
B2,Non Stiff Stalk
B65,Non Stiff Stalk
B66,Non Stiff Stalk
B70,Non Stiff Stalk
B91,Non Stiff Stalk
B97,Non Stiff Stalk
C103,Non Stiff Stalk
C123,Non Stiff Stalk
CQ702RC,Non Stiff Stalk
CR1Ht,Non Stiff Stalk
DE3,Non Stiff Stalk
DK78371A,Non Stiff Stalk
DKMBNA,Non Stiff Stalk
E8501,Non Stiff Stalk
H5,Non Stiff Stalk
H71,Non Stiff Stalk
H95,Non Stiff Stalk
Hy,Non Stiff Stalk
IBC2,Non Stiff Stalk
ICI581,Non Stiff Stalk
L-139,Non Stiff Stalk
LH123Ht,Non Stiff Stalk
LH127,Non Stiff Stalk
LH128,Non Stiff Stalk
LH156,Non Stiff Stalk
